Product name in Flipkart,Retail price in Flipkart,Discounted price in Flipkart,Product id,Product category in Flipkart,Product name in Amazon,Retail price in Amazon,Discounted price in Amazon,Product category,match
Alisha Solid Women's Cycling Shorts,999.0,379.0,SRTEH2FF9KEDEFGF,Clothing,Alisha Solid Women's Cycling Shorts,982,438,Clothing,1
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,SBEEH3QGU7MFYJFY,Furniture,FabHomeDecor Fabric Double Sofa Bed,32143,29121,Furniture,1
AW Bellies,999.0,499.0,SHOEH4GRSUBJGZXE,Footwear,AW Bellies,991,551,Footwear,1
Alisha Solid Women's Cycling Shorts,699.0,267.0,SRTEH2F6HUZMQ6SJ,Clothing,Alisha Solid Women's Cycling Shorts,694,325,Clothing,1
Sicons All Purpose Arnica Dog Shampoo,220.0,210.0,PSOEH3ZYDMSYARJ5,PetSupplies,Sicons All Purpose Arnica Dog Shampoo,208,258,PetSupplies,1
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430.0,430.0,PWTEB7H2E4KCYUE3,EternalGandhiSuperSeriesCrystalPaperWeight,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,427,473,EternalGandhiSuperSeriesCrystalPaperWeight,1
Alisha Solid Women's Cycling Shorts,1199.0,479.0,SRTEH2FVVKRBAXHB,Clothing,Alisha Solid Women's Cycling Shorts,1198,602,Clothing,1
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,SBEEH3QGYGHFUEXN,Furniture,FabHomeDecor Fabric Double Sofa Bed,32137,28664,Furniture,1
"dilli bazaaar Bellies, Corporate Casuals, Casuals",699.0,349.0,SHOEH3DZBFR88SCK,Footwear,"dilli bazaaar Bellies, Corporate Casuals, Casuals",682,385,Footwear,1
Alisha Solid Women's Cycling Shorts,1199.0,479.0,SRTEH2FVUHAAVH9X,Clothing,Alisha Solid Women's Cycling Shorts,1197,542,Clothing,1
Ladela Bellies,1724.0,950.0,SHOEH4KM2W3Z6EH5,Footwear,Ladela Bellies,1705,1119,Footwear,1
Carrel Printed Women's,2299.0,910.0,SWIEHF3EF5PZAZUY,Clothing,Carrel Printed Women's,2281,1080,Clothing,1
Alisha Solid Women's Cycling Shorts,999.0,379.0,SRTEH2FGBDJGX8FW,Clothing,Alisha Solid Women's Cycling Shorts,990,479,Clothing,1
Freelance Vacuum Bottles 350 ml Bottle,699.0,699.0,BOTEGYTZ2T6WUJMM,PensStationery,Freelance Vacuum Bottles 350 ml Bottle,690,822,PensStationery,1
Alisha Solid Women's Cycling Shorts,999.0,379.0,SRTEH2FECMGNZJXJ,Clothing,Alisha Solid Women's Cycling Shorts,995,434,Clothing,1
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,SBEEH3QGAYAEPRCG,Furniture,FabHomeDecor Fabric Double Sofa Bed,32150,28650,Furniture,1
Style Foot Bellies,899.0,449.0,SHOEH4FSHEDEMVTM,Footwear,Style Foot Bellies,894,514,Footwear,1
Carrel Printed Women's,2499.0,999.0,SWIEHF3H7WG6VGMR,Clothing,Carrel Printed Women's,2482,1156,Clothing,1
FabHomeDecor Fabric Double Sofa Bed,32157.0,22646.0,SBEEH3QGWRGG3J6Q,Furniture,FabHomeDecor Fabric Double Sofa Bed,32144,26423,Furniture,1
Sicons Conditioning Conditoner Dog Shampoo,110.0,100.0,PSOEH3ZXRTZJUVXM,PetSupplies,SICONS CONDITIONING CONDITONER DOG SHAMPOO,97,119,PetSupplies,1
dongli Printed Boy's Round Neck T-Shirt,2400.0,1039.0,TSHEHBHSKBJWHFNF,Clothing,DONGLI PRINTED BOY'S ROUND NECK T-SHIRT,2382,1254,Clothing,1
SWAGGA Women Clogs,1500.0,1500.0,SNDEH75ZFZ5REGFH,Footwear,SWAGGA WOMEN CLOGS,1490,1821,Footwear,1
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,190.0,190.0,PTYEA6SFGD4X8NAR,PetSupplies,KENNEL RUBBER DUMBELL WITH BELL - SMALL RUBBER RUBBER TOY FOR DOG,185,209,PetSupplies,1
Glus Wedding Lingerie Set,1299.0,699.0,LINE92U9KGZG25AY,Clothing,GLUS WEDDING LINGERIE SET,1295,869,Clothing,1
